date,tvl_usd,symbol,fee_tier,project_contract_address
2022-03-27,191143887,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-03-28,191718829,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-03-29,192058132,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-03-30,194294332,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-03-31,192995617,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-01,195889547,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-02,195201484,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-03,199014866,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-04,196717127,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-05,195357962,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-06,220743208,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-07,221704725,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-08,195167824,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-09,223251918,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-10,223294482,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-11,210798613,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-12,210566018,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-13,200375127,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-14,196173484,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-15,196649637,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-16,197993643,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-17,197820991,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-18,198411246,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-04-19,202904075,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
