week,project_contract_address,symbol,fee_tier,tvl_usd
2022-02-07,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,84588814.0
2022-02-07,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,231906519.0
2022-02-07,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,925679226.3333334
2022-02-14,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,79053032.71428572
2022-02-14,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,222315186.57142857
2022-02-14,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,913019530.7142857
2022-02-21,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,72513698.71428572
2022-02-21,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,208026161.14285713
2022-02-21,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,866121286.8571428
2022-02-28,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,72868482.28571428
2022-02-28,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,211858199.0
2022-02-28,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,827201886.8571428
2022-03-07,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,67878231.42857143
2022-03-07,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,204755594.14285713
2022-03-07,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,779459754.7142857
2022-03-14,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,68802468.57142857
2022-03-14,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,197102005.57142857
2022-03-14,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,804292310.0
2022-03-21,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,73248289.14285715
2022-03-21,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,66987402.0
2022-03-21,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,190534693.2857143
2022-03-21,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,191143887.0
2022-03-21,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,13468700.0
2022-03-21,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,322105482.0
2022-03-21,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,420580148.0
2022-03-21,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,597839155.9
2022-03-28,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,73034633.71428572
2022-03-28,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,56002650.14285714
2022-03-28,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,195063595.2857143
2022-03-28,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,194453258.14285713
2022-03-28,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,13559516.42857143
2022-03-28,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,311583452.4285714
2022-03-28,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,417013875.71428573
2022-03-28,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,437260630.5
2022-04-04,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,65083710.85714286
2022-04-04,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,55747440.28571428
2022-04-04,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,188276035.57142857
2022-04-04,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,210891035.14285713
2022-04-04,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,12451912.142857144
2022-04-04,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,326666894.4285714
2022-04-04,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,415547952.4285714
2022-04-04,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,444041490.5714286
2022-04-11,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,62552559.14285714
2022-04-11,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,60747877.28571428
2022-04-11,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,184122825.85714287
2022-04-11,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,201482501.85714287
2022-04-11,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,11811456.714285715
2022-04-11,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,301972052.5714286
2022-04-11,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,403220849.14285713
2022-04-11,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,447348567.85714287
2022-04-18,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,62216145.571428575
2022-04-18,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,60931467.571428575
2022-04-18,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,183610623.0
2022-04-18,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,198905844.14285713
2022-04-18,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,12040887.142857144
2022-04-18,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,261767870.85714287
2022-04-18,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,400333247.4285714
2022-04-18,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,446813954.5
2022-04-25,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,60667352.0
2022-04-25,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,51081871.14285714
2022-04-25,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,186887992.14285713
2022-04-25,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,193128604.2857143
