week,venue,size_bucket,swap_count,total_volume_usd,total_eth_volume,project_contract_address
2025-07-14 00:00:00.000 UTC,curve_usdcwbtcweth,0.5k-1k,104,77741.36188788745,18.85393902315538,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-07-14 00:00:00.000 UTC,curve_usdcwbtcweth,100k+,4,727262.4685390661,197.99344146946692,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-07-14 00:00:00.000 UTC,curve_usdcwbtcweth,10k-100k,471,8054658.118910768,2112.02351960719,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-07-14 00:00:00.000 UTC,curve_usdcwbtcweth,1k-10k,2026,10121506.590298047,2544.1494244590504,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-07-14 00:00:00.000 UTC,curve_usdt,0.5k-1k,4,3155.8251288510683,0.9311117331336893,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4
2025-07-14 00:00:00.000 UTC,curve_usdt,10k-100k,64,836419.3470371357,231.9983833136427,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4
2025-07-14 00:00:00.000 UTC,curve_usdt,1k-10k,269,1515845.3948172901,405.6436025869077,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4
2025-07-14 00:00:00.000 UTC,curve_usdtwbtcweth,0.5k-1k,81,58426.20895443611,13.671768881340553,0xd51a44d3fae010294c616388b506acda1bfaae46
2025-07-14 00:00:00.000 UTC,curve_usdtwbtcweth,100k+,3,805528.7017546487,219.01971298909658,0xd51a44d3fae010294c616388b506acda1bfaae46
2025-07-14 00:00:00.000 UTC,curve_usdtwbtcweth,10k-100k,607,10834531.762719119,2754.988538582721,0xd51a44d3fae010294c616388b506acda1bfaae46
2025-07-14 00:00:00.000 UTC,curve_usdtwbtcweth,1k-10k,1709,8938597.262252793,2274.364462456554,0xd51a44d3fae010294c616388b506acda1bfaae46
2025-07-14 00:00:00.000 UTC,sushiv2_ethusdt,0.5k-1k,237,175557.10101171065,50.416470921437046,0x06da0fd433c1a5d7a4faa01111c044910a184553
2025-07-14 00:00:00.000 UTC,sushiv2_ethusdt,1k-10k,197,356271.6401684872,101.27978057246278,0x06da0fd433c1a5d7a4faa01111c044910a184553
2025-07-14 00:00:00.000 UTC,sushiv2_usdceth,0.5k-1k,259,192054.97172172237,55.167139854544814,0x397ff1542f962076d0bfe58ea045ffa2d347aca0
2025-07-14 00:00:00.000 UTC,sushiv2_usdceth,1k-10k,289,526227.1691663247,150.56973637407043,0x397ff1542f962076d0bfe58ea045ffa2d347aca0
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,0.5k-1k,5405,4003883.559372846,1146.0460856914804,0xe0554a476a092703abdb3ef35c80e0d76d32939f
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,100k+,1039,321912213.2356747,92296.5291979868,0xe0554a476a092703abdb3ef35c80e0d76d32939f
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,10k-100k,9309,183811558.54918733,52725.911246052616,0xe0554a476a092703abdb3ef35c80e0d76d32939f
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,1k-10k,19863,87082734.60827038,24893.595280681642,0xe0554a476a092703abdb3ef35c80e0d76d32939f
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,0.5k-1k,5110,3777847.0472024977,1085.5554364339403,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,100k+,1401,471792288.5098355,136209.82439001085,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,10k-100k,11382,240918690.61733642,69257.99774295738,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,1k-10k,19570,85719535.8158298,24553.23598106915,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,0.5k-1k,2254,1631774.900692279,468.27898634851226,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,100k+,1080,216367140.50678265,60494.17919550375,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,10k-100k,10390,369532331.14752096,105172.39800876842,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,1k-10k,6025,24097684.010187503,6904.895865995218,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,0.5k-1k,1034,780350.667851876,223.7317492435278,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,100k+,945,176176898.15434834,50065.73851006808,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,10k-100k,9525,344712404.527876,98650.51454154021,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,1k-10k,3430,14624239.267635947,4183.408254106473,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,0.5k-1k,86,64016.46857198067,18.438148702348087,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,100k+,51,8352137.139094714,2407.7418364623513,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,10k-100k,1310,38142902.25500736,10935.345721977725,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,1k-10k,439,2413345.042814476,689.4953889356217,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,0.5k-1k,285,194833.01709768813,56.34649291058758,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,100k+,474,105745736.04681063,30003.104265821836,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,10k-100k,1615,70651560.87800883,20131.551114716807,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,1k-10k,359,1354898.5519909516,391.0776202285387,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2025-07-14 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,0.5k-1k,44,34329.76247296146,9.774047430764188,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387
2025-07-14 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,1k-10k,69,128638.40145397655,37.534121817647694,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387
2025-07-21 00:00:00.000 UTC,curve_usdcwbtcweth,0.5k-1k,363,278397.81846511015,66.57627395132464,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-07-21 00:00:00.000 UTC,curve_usdcwbtcweth,100k+,4,480656.8093623492,129.55944082595914,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-07-21 00:00:00.000 UTC,curve_usdcwbtcweth,10k-100k,575,10292939.982336298,2421.1904947213384,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-07-21 00:00:00.000 UTC,curve_usdcwbtcweth,1k-10k,5610,22118338.14749153,5089.875117925093,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-07-21 00:00:00.000 UTC,curve_usdt,0.5k-1k,44,36356.767172924425,8.391476015002903,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4
2025-07-21 00:00:00.000 UTC,curve_usdt,10k-100k,290,5813774.30138358,1419.8871429283074,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4
2025-07-21 00:00:00.000 UTC,curve_usdt,1k-10k,1113,5552799.332299722,1293.5663710008441,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4
2025-07-21 00:00:00.000 UTC,curve_usdtwbtcweth,0.5k-1k,151,115688.42801362573,25.556038404388655,0xd51a44d3fae010294c616388b506acda1bfaae46
2025-07-21 00:00:00.000 UTC,curve_usdtwbtcweth,10k-100k,269,4407957.038697619,1063.4021886798566,0xd51a44d3fae010294c616388b506acda1bfaae46
