week,venue,size_bucket,project_contract_address,swap_count,total_volume_usd,total_token_bought,total_token_sold
2025-07-14 00:00:00.000 UTC,curve_usdcwbtcweth,0.5k-1k,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,104,77741.36188788745,25122.381816677807,37657.10685730536
2025-07-14 00:00:00.000 UTC,curve_usdcwbtcweth,100k+,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,4,727262.4685390661,377183.0721779862,342584.58201248327
2025-07-14 00:00:00.000 UTC,curve_usdcwbtcweth,10k-100k,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,471,8054658.118910768,2918252.9489797074,3060816.6481656237
2025-07-14 00:00:00.000 UTC,curve_usdcwbtcweth,1k-10k,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,2026,10121506.590298047,3702566.925025323,4032281.0331936064
2025-07-14 00:00:00.000 UTC,curve_usdt,0.5k-1k,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4,4,3155.8251288510683,0.9311117331336893,3162.146169
2025-07-14 00:00:00.000 UTC,curve_usdt,10k-100k,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4,64,836419.3470371357,310236.65994899056,293642.3503303231
2025-07-14 00:00:00.000 UTC,curve_usdt,1k-10k,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4,269,1515845.3948172901,285425.9208458562,819969.7537984602
2025-07-14 00:00:00.000 UTC,curve_usdtwbtcweth,0.5k-1k,0xd51a44d3fae010294c616388b506acda1bfaae46,81,58426.20895443611,19392.7658640539,31058.827463877442
2025-07-14 00:00:00.000 UTC,curve_usdtwbtcweth,100k+,0xd51a44d3fae010294c616388b506acda1bfaae46,3,805528.7017546487,505186.65775748325,319948.7072915058
2025-07-14 00:00:00.000 UTC,curve_usdtwbtcweth,10k-100k,0xd51a44d3fae010294c616388b506acda1bfaae46,607,10834531.762719119,4018960.0944028916,3880625.5238436856
2025-07-14 00:00:00.000 UTC,curve_usdtwbtcweth,1k-10k,0xd51a44d3fae010294c616388b506acda1bfaae46,1709,8938597.262252793,2966653.8618081464,3620511.2925374936
2025-07-14 00:00:00.000 UTC,sushiv2_ethusdt,0.5k-1k,0x06da0fd433c1a5d7a4faa01111c044910a184553,237,175557.10101171065,82515.28563054494,93418.25968437642
2025-07-14 00:00:00.000 UTC,sushiv2_ethusdt,1k-10k,0x06da0fd433c1a5d7a4faa01111c044910a184553,197,356271.6401684872,174512.2844146822,182444.30474989035
2025-07-14 00:00:00.000 UTC,sushiv2_usdceth,0.5k-1k,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,259,192054.97172172237,75672.95678417933,116932.86153267515
2025-07-14 00:00:00.000 UTC,sushiv2_usdceth,1k-10k,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,289,526227.1691663247,251417.96489105516,276488.6928793189
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,0.5k-1k,0xe0554a476a092703abdb3ef35c80e0d76d32939f,5405,4003883.559372846,2311403.8184231007,1696218.378203589
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,100k+,0xe0554a476a092703abdb3ef35c80e0d76d32939f,1039,321912213.2356747,161298618.69476014,160541258.18028682
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,10k-100k,0xe0554a476a092703abdb3ef35c80e0d76d32939f,9309,183811558.54918736,86761356.80699712,97315508.46092598
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,1k-10k,0xe0554a476a092703abdb3ef35c80e0d76d32939f,19863,87082734.60827036,46567823.28853236,40630645.0564163
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,0.5k-1k,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,5110,3777847.0472024973,2084989.4138240702,1694526.965843364
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,100k+,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,1401,471792288.5098355,236027954.02860972,235059444.06630215
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,10k-100k,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,11382,240918690.61733642,115207870.69532043,125921685.43987168
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,1k-10k,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,19570,85719535.81582978,46350886.766882434,39440023.84485168
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,0.5k-1k,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,2254,1631774.900692279,918155.9108990481,715389.8659343002
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,100k+,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,1080,216367140.50678265,112109315.31413603,104628101.53492142
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,10k-100k,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,10390,369532331.1475209,176895932.27965522,193219215.55112356
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,1k-10k,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,6025,24097684.010187503,13574354.546522249,10551681.396887751
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,0.5k-1k,0x11b815efb8f581194ae79006d24e0d814b7697f6,1034,780350.667851876,366604.25960559,414169.5813266535
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,100k+,0x11b815efb8f581194ae79006d24e0d814b7697f6,945,176176898.1543483,87077342.67717367,89301931.4306244
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,10k-100k,0x11b815efb8f581194ae79006d24e0d814b7697f6,9525,344712404.527876,166523042.75562808,178546858.32481447
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,1k-10k,0x11b815efb8f581194ae79006d24e0d814b7697f6,3430,14624239.267635947,8488233.10345688,6145572.956382227
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,0.5k-1k,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,86,64016.46857198067,27773.712403387457,36405.45250431489
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,100k+,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,51,8352137.139094714,3905711.912934975,4472813.4339344865
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,10k-100k,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,1310,38142902.25500736,15794608.387828197,22467702.270239774
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,1k-10k,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,439,2413345.042814476,969509.4210499629,1449107.9846229728
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,0.5k-1k,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,285,194833.01709768813,38223.74184322833,157117.82702868228
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,100k+,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,474,105745736.04681064,50519749.05515519,55470491.00168264
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,10k-100k,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,1615,70651560.87800884,29319868.99832015,41484619.44250558
2025-07-14 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,1k-10k,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,359,1354898.5519909516,694455.1691258327,662516.9383513958
2025-07-14 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,0.5k-1k,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,44,34329.76247296146,6450.830605137595,28021.23678929317
2025-07-14 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,1k-10k,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,69,128638.40145397653,30703.473605398955,98513.4758664187
2025-07-21 00:00:00.000 UTC,curve_usdcwbtcweth,0.5k-1k,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,363,278397.81846511015,106580.3867826836,124758.2168867577
2025-07-21 00:00:00.000 UTC,curve_usdcwbtcweth,100k+,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,4,480656.8093623492,66.91125094282417,66.66797630313498
2025-07-21 00:00:00.000 UTC,curve_usdcwbtcweth,10k-100k,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,575,10292939.982336298,3870191.5204050816,3909009.8560376065
2025-07-21 00:00:00.000 UTC,curve_usdcwbtcweth,1k-10k,0x7f86bf177dd4f3494b841a37e810a34dd56c829b,5610,22118338.14749153,8359712.2313920725,8467716.724988783
2025-07-21 00:00:00.000 UTC,curve_usdt,0.5k-1k,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4,44,36356.767172924425,13916.571781292456,21353.37882833255
2025-07-21 00:00:00.000 UTC,curve_usdt,10k-100k,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4,290,5813774.30138358,2390395.7904852824,2591744.378344889
2025-07-21 00:00:00.000 UTC,curve_usdt,1k-10k,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4,1113,5552799.332299722,2177225.257430688,2237516.9764957307
2025-07-21 00:00:00.000 UTC,curve_usdtwbtcweth,0.5k-1k,0xd51a44d3fae010294c616388b506acda1bfaae46,151,115688.42801362573,55351.457175281714,44285.638924082676
2025-07-21 00:00:00.000 UTC,curve_usdtwbtcweth,10k-100k,0xd51a44d3fae010294c616388b506acda1bfaae46,269,4407957.038697619,1782688.4048919987,1821886.3537012702
2025-07-21 00:00:00.000 UTC,curve_usdtwbtcweth,1k-10k,0xd51a44d3fae010294c616388b506acda1bfaae46,4261,15753469.51403511,6055741.687162555,6126164.616893314
2025-07-21 00:00:00.000 UTC,sushiv2_ethusdt,0.5k-1k,0x06da0fd433c1a5d7a4faa01111c044910a184553,388,272693.66904138203,145905.51729510783,127281.16046534653
2025-07-21 00:00:00.000 UTC,sushiv2_ethusdt,1k-10k,0x06da0fd433c1a5d7a4faa01111c044910a184553,136,181775.97229134373,93045.8156543427,89117.14681102862
2025-07-21 00:00:00.000 UTC,sushiv2_usdceth,0.5k-1k,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,441,325763.12459790905,174879.53526573986,151527.46111050042
2025-07-21 00:00:00.000 UTC,sushiv2_usdceth,1k-10k,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,304,459644.819672666,236124.548416974,224673.79157775856
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,0.5k-1k,0xe0554a476a092703abdb3ef35c80e0d76d32939f,11392,8374028.121882071,4503796.971966666,3874950.244835039
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,100k+,0xe0554a476a092703abdb3ef35c80e0d76d32939f,1185,407794421.3274565,204262530.81266716,203886220.95016456
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,10k-100k,0xe0554a476a092703abdb3ef35c80e0d76d32939f,12205,229739027.0023377,110529384.9928227,119475649.5999372
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,1k-10k,0xe0554a476a092703abdb3ef35c80e0d76d32939f,38535,162892987.06794167,84758854.16077146,78303307.63931799
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,0.5k-1k,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,10287,7592667.979698577,4016501.725294359,3577847.302285079
2025-07-21 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,100k+,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,1559,532573934.17514503,266251961.1282086,263720224.70724282
